Level,Value,Cost
1,1,1000
2,2,1250
3,3,1562
4,4,1952
5,5,2440
6,6,3050
7,7,3812
8,8,4765
9,9,5956
10,10,7445
11,11,9306
12,12,11632
13,13,14540
14,14,18175
15,15,22718
16,16,28397
17,17,35496
18,18,44370
19,19,55462
20,20,69327
21,21,86658
22,22,108322
23,23,135402
24,24,169252
25,25,211565
26,26,264456
27,27,330570
28,28,413212
29,29,516515
30,30,645643
31,31,807053
32,32,1008816
33,33,1261020
34,34,1576275
35,35,1970343
36,36,2462928
37,37,3078660
38,38,3848325
39,39,4810406
40,40,6013007
41,41,7516258
42,42,9395322
43,43,11744152
44,44,14680190
45,45,18350237
46,46,22937796
47,47,28672245
48,48,35840306
49,49,44800382
50,50,56000477
