Level,Name,Preessure,Swimming,StageDepth
1,안전한 여울,5,5,100
2,안전한 산호지대,6,6,200
3,따뜻한 해초 숲,7,8,500
4,초원 평야,10,12,800
5,반짝이는 바다,12,15,1100
6,깊고 푸른 바다,15,19,1300
7,차가운 바다,17,23,1600
8,빛을 잃어가는 바다,20,27,2000
9,보랏빛 바다,22,31,2300
10,검게 빛나는 바다,25,35,2700
11,조용한 바다,28,38,3100
12,어두컴컴한 바다,30,40,3600
13,희미하게 맑은 바다,32,42,3900
14,더욱 더 깊은 바다,34,45,4300
15,신비로운 바다,35,48,4600
16,춥고 맑은 바다,37,50,5100
17,완전히 어두운 바다,39,50,5600
18,깊디 깊은 바다,40,55,6200
19,급추락 지역,46,71,6900
20,고요한 바다,50,85,7800
21,미지근한 바다,60,100,8400
22,뜨거운 바다,68,115,9800
23,얼어붙은 바다,76,130,11000
24,잊혀져 가는 바다,110,200,99999999
