Level,Value,Cost
1,1,300
2,2,375
3,3,468
4,4,585
5,5,731
6,6,913
7,7,1141
8,8,1426
9,9,1782
10,10,2227
11,11,2783
12,12,3478
13,13,4347
14,14,5433
15,15,6791
16,16,8488
17,17,10610
18,18,13262
19,19,16577
20,20,20721
21,21,25901
22,22,32376
23,23,40470
24,24,50587
25,25,63233
26,26,79041
27,27,98801
28,28,123501
29,29,154376
30,30,192970
31,31,241212
32,32,301515
33,33,376893
34,34,471116
35,35,588895
36,36,736118
37,37,920147
38,38,1150183
39,39,1437728
40,40,1797160
41,41,2246450
42,42,2808062
43,43,3510077
44,44,4387596
45,45,5484495
46,46,6855618
47,47,8569522
48,48,10711902
49,49,13389877
50,50,16737346
