Level,Value,Cost
1,1,100
2,2,125
3,3,156
4,4,195
5,5,243
6,6,303
7,7,378
8,8,472
9,9,590
10,10,737
11,11,921
12,12,1151
13,13,1438
14,14,1797
15,15,2246
16,16,2807
17,17,3508
18,18,4385
19,19,5481
20,20,6851
21,21,8563
22,22,10703
23,23,13378
24,24,16722
25,25,20902
26,26,26127
27,27,32658
28,28,40822
29,29,51027
30,30,63783
31,31,79728
32,32,99660
33,33,124575
34,34,155718
35,35,194647
36,36,243308
37,37,304135
38,38,380168
39,39,475210
40,40,594012
41,41,742515
42,42,928143
43,43,1160178
44,44,1450222
45,45,1812777
46,46,2265971
47,47,2832463
48,48,3540578
49,49,4425722
50,50,5532152
